Renda_Total,log_renda,Sexo,Cor_Raca,UF,Escolaridade_Num,Escolaridade_Label,Idade,Setor_Economico,Area_Atuacao,Faixa_Etaria
2221130.0,14.61352708357751,Masculino,Parda,Rondônia,7.0,Médio completo,57,Desconhecido,,46-60
1130.0,7.030857476116121,Feminino,Parda,Rondônia,10.0,Mestrado incompleto,49,Desconhecido,Serviços,46-60
2321122.0,14.657561678251387,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,26,Desconhecido,,26-35
20.0,3.044522437723423,Feminino,Parda,Rondônia,7.0,Médio completo,48,Desconhecido,,46-60
2221130.0,14.61352708357751,Masculino,Amarela,Rondônia,10.0,Mestrado incompleto,22,Desconhecido,,18-25
1160.0,7.057036981697891,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,39,Desconhecido,Indústria,36-45
2111120.0,14.56272964399405,Masculino,Branca,Rondônia,7.0,Médio completo,64,Desconhecido,,61-80
2111140.0,14.56273911758901,Masculino,Branca,Rondônia,10.0,Mestrado incompleto,60,Desconhecido,,46-60
1140.0,7.039660349862076,Masculino,Parda,Rondônia,7.0,Médio completo,68,Desconhecido,Serviços,61-80
2411122.0,14.695603172037888,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,33,Desconhecido,,26-35
1122.0,7.023758954738443,Feminino,Parda,Rondônia,,,35,Desconhecido,Serviços,26-35
1150.0,7.048386408721883,Masculino,Branca,Rondônia,15.0,Educação infantil,48,Desconhecido,Serviços,46-60
50.0,3.9318256327243257,Feminino,Branca,Rondônia,,,27,Desconhecido,,26-35
2111150.0,14.562743854352833,Masculino,Parda,Rondônia,7.0,Médio completo,77,Desconhecido,,61-80
20.0,3.044522437723423,Feminino,Parda,Rondônia,7.0,Médio completo,45,Desconhecido,Comércio,36-45
12.0,2.5649493574615367,Feminino,Parda,Rondônia,13.0,Doutorado completo,38,Desconhecido,Comércio,36-45
2121120.0,14.567455280481612,Masculino,Branca,Rondônia,10.0,Mestrado incompleto,49,Desconhecido,,46-60
13.0,2.6390573296152584,Feminino,Parda,Rondônia,,,18,Desconhecido,Comércio,18-25
